split,domain_score
val,0.99438584
val,0.98620486
val,0.99016905
val,0.9928714
val,0.95695233
val,0.96187043
val,0.99486214
val,0.9729799
val,0.99488795
val,0.98781025
val,0.989493
val,0.966892
val,0.9864641
val,0.98986304
val,0.977435
val,0.9919129
val,0.87560403
val,0.9852874
val,0.98243904
val,0.96064794
val,0.98447275
val,0.9832208
val,0.98651135
val,0.9911208
val,0.95435303
val,0.98154724
val,0.9893974
val,0.98228514
val,0.9786749
val,0.98852444
val,0.99252725
val,0.98910296
val,0.91984475
val,0.99673176
val,0.978935
val,0.9930547
val,0.98811054
val,0.9789724
val,0.9742631
val,0.9405266
val,0.9605769
val,0.9948268
val,0.91701007
val,0.9789798
val,0.98662585
val,0.9830896
val,0.98950607
val,0.9634232
val,0.9716848
val,0.98756015
val,0.98594123
val,0.99147016
val,0.9817772
val,0.98835367
val,0.9774579
val,0.99539685
val,0.974186
val,0.9631957
val,0.9842084
val,0.97839487
val,0.9865383
val,0.93171585
val,0.97226965
val,0.9879982
val,0.98728144
val,0.99132586
val,0.9885524
val,0.9915557
val,0.9879242
val,0.97998285
val,0.9963174
val,0.9911507
val,0.92587304
val,0.98888457
val,0.98951244
val,0.9905988
val,0.98363864
val,0.9818529
val,0.9910443
val,0.97835404
val,0.9840299
val,0.9939407
val,0.990396
val,0.98321193
val,0.9908333
val,0.9908036
val,1.0
val,0.9814708
val,0.99999994
val,0.98250353
val,0.9999998
val,0.9935537
val,1.0000001
val,0.98763555
val,0.98863196
val,0.9758664
val,0.9379007
val,0.9736823
val,0.9699919
val,0.9858326
val,0.9897599
val,0.9928174
val,0.9712297
val,1.0000002
val,1.0
val,0.98468375
val,0.99274755
val,0.9932019
val,0.9850327
val,0.98994464
val,0.9908072
val,0.98416764
val,0.9891779
val,0.9954754
val,0.99378175
val,0.9761812
val,0.98743
val,0.97261465
val,0.9912018
val,0.99480146
val,0.98530376
val,0.9886725
val,0.9846122
val,1.0000002
val,0.9999997
val,0.9931002
val,0.99158144
val,0.9856193
val,0.9488951
val,0.9896616
val,0.99400675
val,0.983029
val,0.90521264
val,1.0000001
val,0.6008282
val,0.99116355
val,0.972938
val,0.98855966
val,0.9927582
val,1.0000001
val,0.98975104
val,0.9839996
val,0.991344
val,0.9922398
val,0.9951424
val,0.9943825
val,0.976968
val,0.98870236
val,0.9852905
val,0.9815227
val,0.9944734
val,0.9835565
val,0.9696719
val,0.8520803
val,1.0
val,0.99378514
val,0.9999999
val,1.0000002
val,0.9796238
val,0.992305
val,0.9710706
val,0.97095716
val,0.97249174
val,0.9999997
val,0.9843123
val,0.99369127
val,0.97995377
val,0.9934165
val,0.983974
val,0.9288353
val,0.97889125
val,0.9949454
val,0.9754705
val,0.98171425
val,0.98563886
val,0.9874306
val,0.97356147
val,0.98674715
val,1.0
val,0.99217445
val,0.982324
val,0.990101
val,0.98308897
val,0.9641117
val,0.99355567
val,0.9918618
val,0.98213553
val,0.9820093
val,0.9660461
val,0.9819107
val,1.0000002
val,1.0
val,0.9905702
val,0.99999976
val,0.9067048
val,0.97896147
val,0.98673177
val,0.9863366
val,0.9910139
val,0.98896694
val,0.94260526
val,0.99288476
val,0.9999999
val,0.9905983
val,0.9502295
val,0.9768468
val,0.99264014
val,1.0000002
val,0.9661894
val,0.9890231
val,0.97389907
val,0.9863865
val,0.99002755
val,0.7844973
val,0.98832583
val,1.0000001
val,0.987486
val,0.9853449
val,0.9909724
val,0.97280085
val,0.9226366
val,0.98571765
val,0.9916593
val,0.84001434
val,0.99324787
val,0.99134207
val,0.9876181
val,0.9945985
val,0.993707
val,0.99498785
val,0.99023205
val,0.99259657
val,1.0
val,0.98936814
val,0.91897005
val,0.79839826
val,0.9735478
val,0.9098872
val,0.98793876
val,0.94753885
val,0.99999994
val,0.9920859
val,0.9876939
val,0.9785831
val,1.0
val,0.9936656
val,0.9852681
val,1.0
val,0.6581148
val,0.9868263
val,0.9913146
val,0.98662865
val,0.98929
val,0.98932457
val,0.9837636
val,0.97990906
val,0.9762527
val,0.9750143
val,0.96628404
val,1.0000002
val,0.9820553
val,0.95249546
val,0.9927753
val,0.9942718
val,0.98661286
val,0.985705
val,0.66565454
val,0.9905394
val,0.98855186
val,0.9787619
val,0.99608094
val,0.98174685
val,0.9800944
val,0.9950483
val,0.9833629
val,0.9766263
val,1.0
val,0.8788355
val,0.97686553
val,0.9803566
val,1.0
val,0.9899635
val,0.9840958
val,0.98990995
val,0.98954284
val,0.98565865
val,0.8639432
val,0.992338
val,1.0
val,1.0
val,0.9960378
val,0.9931588
val,0.9596256
val,0.9821073
val,0.9564632
val,0.9655268
val,0.9806148
val,0.98525953
val,0.9810269
val,0.98215055
val,0.9929632
val,1.0
val,0.97192955
val,0.9929253
val,1.0
val,0.9453478
val,1.0
val,0.9623201
val,0.98444664
val,0.9867162
val,0.976622
val,0.991959
val,0.9819379
val,0.96852267
val,0.9698604
val,0.9710032
val,0.9968284
val,0.9437212
val,0.89467263
val,0.97333205
val,0.9947641
val,0.9798476
val,0.9904684
val,0.97581935
val,0.9897692
val,0.99009633
val,0.9913279
val,0.98919535
val,0.9716162
val,0.98481154
val,0.9586126
val,0.97391534
val,0.9923799
val,0.98856246
val,0.9876448
val,0.9657036
val,0.9904144
val,0.9840513
val,0.9816392
val,0.98602283
val,0.9686349
val,0.9906828
val,0.9886813
val,0.96895576
val,0.9792464
val,0.9946639
val,0.96759
val,0.9699448
val,0.9799216
val,0.9833684
val,0.97890574
val,0.8913238
val,0.97322756
val,0.9737889
val,0.9917531
val,0.99168813
val,0.98842424
val,0.98906964
val,0.9620224
val,0.9946414
val,0.9737498
val,0.98742574
val,0.9860093
val,0.9864224
val,0.9645079
val,0.97659826
val,0.9507561
val,0.99305063
val,0.86780614
val,0.984863
val,0.9881639
val,0.98284376
val,0.98749113
val,0.98240274
val,0.9860962
val,0.7213061
val,0.7112107
val,0.9919883
val,0.97497225
val,0.9940374
val,0.983099
val,0.9946022
val,0.98855156
val,0.9808078
val,0.975007
val,0.9848303
val,0.9446603
val,0.9944454
val,0.9927942
val,0.99297637
val,0.94126916
val,0.985921
val,0.9891829
val,0.9200043
val,0.9918779
val,0.96681017
val,0.9844688
val,0.99398893
val,0.9664577
val,0.96928346
val,0.9946259
val,0.96011055
val,0.9862322
val,0.9802826
val,0.98919547
val,0.846248
val,0.9485818
val,0.96886086
val,0.95653653
val,0.99219763
val,0.9903999
val,0.9833413
val,0.98545146
val,0.98407257
val,0.98728424
val,0.99591017
val,0.98115486
val,0.96622074
val,0.9871133
val,0.98915887
val,0.96874434
val,0.9744735
val,0.97615874
val,0.9875059
val,0.95662093
val,0.96605396
val,0.9936485
val,0.98228747
val,0.9910172
val,0.95961165
val,0.98586655
val,0.97306514
val,0.99204886
val,0.97933495
val,0.98985034
val,0.99305946
val,0.9892094
val,0.95530725
val,0.98544073
val,0.94398576
val,0.9740969
val,0.98760843
val,0.90108657
val,0.96250564
val,0.9678631
val,0.9537829
val,0.98937976
val,0.98354864
val,0.9874829
val,0.98227715
val,0.9889927
val,0.97387123
val,0.96970093
val,0.9888514
val,0.9965207
val,0.9366392
val,0.9974394
val,0.98762196
val,0.94644356
val,0.9849717
val,0.9731457
val,0.9923639
val,0.98122984
val,0.9422134
val,0.9884891
val,0.98886275
val,0.97325253
val,0.6296427
val,0.9733318
val,0.9684229
val,0.9825069
val,0.9936242
val,0.9945172
val,0.9857771
val,0.9803237
val,0.94047195
val,0.98402673
val,0.98640156
val,0.9907891
val,0.98564875
val,0.9853215
val,0.97323596
val,0.8598302
val,0.9724347
val,0.98333126
val,0.9800123
val,0.9695082
val,0.9894554
val,0.9845859
val,0.97983646
val,0.9832952
val,0.9878205
val,0.9970702
val,0.9864917
val,0.984774
val,0.8838747
val,0.737786
val,0.9808422
val,0.9574098
val,0.89333737
val,0.9747628
val,0.95300066
val,0.9660667
val,0.96573734
val,0.8706858
val,0.999244
val,0.9779446
val,0.9518042
val,0.87809217
val,0.6982037
val,0.9890464
val,0.9685869
val,0.9815457
val,0.9661513
val,0.98246056
val,0.95750237
val,0.9985366
val,0.9867662
val,0.9831936
val,0.98569024
val,0.9991778
val,0.9801346
val,0.87041575
val,0.93315375
val,0.9808289
val,0.9298683
val,0.9443301
val,0.96733046
val,0.96068025
val,0.9355991
val,0.945171
val,0.8938555
val,0.99337137
val,0.8441887
val,0.9801221
val,0.9320667
val,0.9991377
val,0.9420393
val,0.9693047
val,0.8946947
val,0.979777
val,0.9808744
val,0.89946246
val,0.9537816
val,0.9999999
val,0.9999998
val,1.0000002
val,0.99999994
val,0.97434235
val,1.0000002
val,0.9697577
val,0.9607787
val,0.9720763
val,0.992071
val,1.0000001
val,0.99999976
val,0.97742
val,0.9530433
val,0.92336214
val,0.7883139
val,0.9621266
val,0.99924064
val,0.9737286
val,0.9641052
val,0.93312573
val,0.9910529
val,0.97107923
val,0.9999999
val,0.9550181
val,0.9999999
val,0.95982736
val,0.99580026
val,0.9854361
val,0.9404172
val,1.0000001
val,0.88253605
val,0.96502423
val,0.941673
val,0.96278036
val,0.97971416
val,1.0
val,0.9231852
val,0.948189
val,0.9999999
val,1.0
val,0.98205245
val,0.8761323
val,0.9536722
val,0.9974201
val,0.9757819
val,0.98612356
val,0.93995416
val,0.8844043
val,0.99974686
val,0.947374
val,0.98899674
val,0.994449
val,1.0
val,0.9420409
val,0.9672709
val,0.93183064
val,0.96263415
val,0.99973077
val,0.9458912
val,0.9980165
val,0.9458788
val,1.0
val,0.97491723
val,0.99923086
val,0.92393744
val,0.9784335
val,0.9878714
val,0.9216138
val,0.9451339
val,0.9488164
val,0.94242615
val,1.0000002
val,0.99999976
val,0.9999999
val,0.9922239
val,0.97164553
val,0.9999998
val,1.0000004
val,0.96997815
val,0.99435395
val,0.9994192
val,0.96256
val,0.9821005
val,0.99510527
val,0.9997871
val,0.9533563
val,0.99944955
val,0.9834423
val,0.9461279
val,0.91646785
val,0.9312824
val,0.9551287
val,0.9799211
val,0.9900804
val,0.99999994
val,0.9339991
val,1.0000001
val,0.9522422
val,1.0
val,0.9864406
val,0.9491083
val,1.0000002
val,0.8914327
val,1.0000004
val,0.9622339
val,0.9627017
val,0.9741645
val,0.99930143
val,0.98501456
val,0.9995469
val,0.973895
val,1.0000002
val,0.9817794
val,0.9897172
val,0.97054404
val,1.0000004
val,0.9990569
val,0.99861926
val,0.9999999
val,0.9988152
val,0.8880489
val,0.8114393
val,0.91303724
val,0.96310484
val,0.95561934
val,0.9962557
val,0.9738203
val,0.9739357
val,0.99925673
val,0.99999994
val,0.9903554
val,0.87005407
val,0.9597727
val,0.9315001
val,0.9670028
val,0.9526424
val,0.8881718
val,0.9281076
val,0.9649393
val,0.9998195
val,0.992397
val,0.98490524
val,0.86366653
val,0.88826287
val,0.97416294
val,0.97572
val,0.9701181
val,0.96506405
val,0.9610183
val,0.97513556
val,0.9956484
val,0.99965584
val,1.0
val,0.9283351
val,0.96981823
val,0.96819997
val,0.9551841
val,0.99612975
val,0.9251392
val,0.97786236
val,0.96491385
val,0.958869
val,0.99646354
val,0.9794698
val,0.9958463
val,0.9540585
val,0.95963764
val,1.0
val,0.9878379
val,0.9631622
val,0.9730563
val,0.96211445
val,0.9634377
val,0.9993125
val,0.9999999
val,0.9644934
val,0.9774972
val,0.9830271
val,0.97040296
val,0.9902191
val,1.0000001
val,0.9052073
val,0.7304354
val,0.96765167
val,0.9640254
val,0.9620907
val,0.9980629
val,0.9156094
val,0.9999999
val,0.9755429
val,0.9954655
val,0.9280389
val,0.8714514
val,0.954767
val,0.99250484
val,0.9836173
val,0.96553457
val,1.0000001
val,0.99999994
val,0.95461226
val,0.94877654
val,0.97460604
val,0.9591665
val,0.9926829
val,1.0000001
val,0.97726023
val,0.9868745
val,0.9864535
val,0.96297646
val,0.98482716
val,0.9947932
val,0.9993355
val,0.9888958
val,0.9932642
val,0.98766583
val,0.9407072
val,1.0
val,1.0
val,0.95827
val,0.95170295
val,0.8083739
val,0.95303977
val,0.98337424
val,0.99966455
val,0.99999994
val,0.98079014
val,0.9632989
val,1.0000002
val,1.0000002
val,0.96813273
val,0.91868824
val,0.99913675
val,0.96494985
val,0.9248513
val,1.0
val,0.96780515
val,1.0
val,0.9568202
val,1.0
val,0.9186588
val,1.0000001
val,0.9827635
val,0.9526952
val,0.9633875
val,0.9844622
val,0.6571902
val,0.9999998
val,0.9591094
val,0.99617565
val,0.99999976
val,0.9570658
val,0.95795417
val,0.9732506
val,0.96256995
val,1.0
val,0.9615044
val,0.9687466
val,0.96479666
val,0.9663113
val,0.9631524
val,0.9828155
val,0.9675702
val,0.97928464
val,1.0000001
val,0.96528953
val,0.9589032
val,0.932469
val,1.0
val,1.0
val,1.0
val,0.9602808
val,0.80426097
val,0.95743966
val,0.92451155
val,1.0
val,0.89048326
val,0.9941561
val,1.0000001
val,0.9624361
val,1.0000001
val,0.9647132
val,0.9200493
val,1.0000001
val,0.9554081
val,0.991336
val,1.0
val,0.93176097
val,0.9939762
val,0.96172595
val,0.9552456
val,1.0
val,1.0000001
val,0.9999999
val,0.99999994
val,0.97744286
val,0.9678966
val,0.93171275
val,0.986645
val,0.9636851
val,0.97707224
val,0.93769276
val,0.9459096
val,0.9680582
val,0.9724945
val,0.98001564
val,0.9863173
val,1.0000001
val,1.0
val,0.7008465
val,0.9237008
val,0.93724084
val,0.977719
val,0.9079302
val,0.9720371
val,0.97618896
val,1.0
val,0.9754049
val,0.97157514
val,1.0000004
val,0.95516723
val,0.93155515
val,0.7160629
val,0.9999998
val,0.99027985
val,0.96501094
val,0.9999999
val,1.0
val,0.98772305
val,0.9729241
val,1.0000001
val,0.99999994
val,0.9999998
val,0.99999964
val,0.99999964
val,0.9289982
val,0.9511789
val,0.9591669
val,1.0
val,0.932234
val,0.9913893
val,0.9474918
val,0.97593707
val,1.0000001
val,0.9999997
val,0.9568845
val,0.9999996
val,0.8828974
val,0.96588075
val,0.9658216
val,0.9903274
val,0.9999998
val,0.99239343
val,1.0
val,0.96609575
val,0.9999999
val,1.0
val,0.959592
val,0.8685371
val,0.97215414
val,0.999375
val,0.9899876
val,0.96329373
val,1.0
val,1.0000002
val,0.99836355
val,0.7413506
val,0.99999976
val,0.9999997
val,1.0000002
val,0.97020155
val,0.8471183
val,0.99999994
val,0.99968725
val,0.9704238
val,0.95710474
val,0.9999998
val,0.9381242
val,1.0000002
val,0.9552766
val,0.9591036
val,0.99999994
val,0.9580438
val,1.0000001
val,0.9745996
val,0.9621886
val,0.97414166
val,0.93707514
val,0.9817297
val,1.0000001
val,1.0
val,0.9226892
val,0.9783561
val,0.9745778
val,0.96838117
val,0.96177447
val,0.99999976
val,0.96476686
val,0.99999976
val,0.99999994
val,0.9997057
val,0.8681401
val,0.9694605
val,0.8897499
val,0.96240115
val,0.99999994
val,0.95122266
val,1.0
val,0.9720724
val,0.9771424
val,0.9596899
val,0.96820605
val,0.9317653
val,0.94974285
val,0.96239424
val,0.9701929
val,0.9453045
val,0.9735094
val,0.9852451
val,0.8438634
val,1.0000001
val,0.95606333
val,0.94699734
val,0.9729949
val,0.9786145
val,0.9304649
val,0.96087384
val,0.95175934
val,0.95127606
val,0.9489814
val,0.96128964
val,0.9707067
val,0.991467
val,0.96718466
val,0.7185262
val,0.99037504
val,0.9603053
val,1.0
val,0.9583234
val,0.8255224
val,0.99999976
val,0.95546997
val,1.0000001
val,1.0
val,0.96959627
val,0.95876503
val,0.9331974
val,0.9677441
val,1.0000004
val,0.9588475
val,1.0000001
val,0.97208214
val,0.96742415
val,1.0
val,0.9684297
val,0.9940995
val,0.9481014
val,0.96834916
val,0.99999994
val,1.0
val,0.99999976
val,0.9645407
val,0.96258825
val,1.0000002
val,0.95934945
val,0.9813831
val,0.9718175
val,0.9651022
val,0.9556334
val,0.97322905
val,0.9921112
val,0.9999999
val,1.0000001
val,0.97281945
val,0.9605326
val,0.9825071
val,0.97248083
val,1.0
val,0.98049074
val,0.9999999
val,0.99076104
val,0.9164168
val,1.0000001
val,0.97419816
val,1.0
val,0.94516957
val,0.97220355
val,0.99052894
val,0.96771365
val,0.9458705
val,0.98117864
val,0.9831306
val,0.9983249
val,0.8320868
val,0.9693357
val,0.9816743
val,0.9948862
val,0.9667921
val,0.9802214
val,0.981685
val,0.9725382
val,0.97483784
val,0.906816
val,0.96349794
val,0.98097754
val,0.98643374
val,0.98757756
val,0.9763056
val,0.969072
val,0.96885765
val,0.97853565
val,0.97928405
val,0.9789642
val,0.9943616
val,0.9754852
val,0.97858405
val,0.99042296
val,0.97943795
val,0.96990937
val,0.87137485
val,0.9980811
val,0.9892018
val,0.9562787
val,0.9799347
val,0.99512076
val,0.99089324
val,0.97128844
val,0.97979486
val,0.99582565
val,0.9827602
val,0.96691465
val,0.989451
val,0.99102855
val,0.9923277
val,0.9833025
val,0.9816433
val,0.9481381
val,0.98980206
val,0.9897378
val,0.9552412
val,0.99621654
val,0.94357264
val,0.9920806
val,0.9788624
val,0.9669682
val,0.9889418
val,0.98937315
val,0.9991586
val,0.9963683
val,0.9905607
val,0.96787965
val,0.9954475
val,0.98452735
val,0.99046594
val,0.9994596
val,0.9784527
val,0.983919
val,0.97746956
val,0.978403
val,0.98061806
val,0.9923817
val,0.987038
val,0.9713292
val,0.9400718
val,0.9525989
val,0.9956339
val,0.979623
val,0.9866432
val,0.98666227
val,0.91806334
val,0.96068645
val,0.99081886
val,0.97500086
val,0.9656749
val,0.9741908
val,0.97523427
val,0.9771848
val,0.9920528
val,0.9906403
val,0.9772654
val,0.9856923
val,0.98238474
val,0.9961011
val,0.98857945
val,0.9914387
val,0.9820447
val,0.95603395
val,0.9848592
val,0.97856504
val,0.9774972
val,0.9904146
val,0.9977869
val,0.9936778
val,0.9925329
val,0.98433024
val,0.99147147
val,0.98655486
val,0.99319506
val,0.98882663
val,0.98069626
val,0.98596394
val,0.955539
val,0.9874117
val,0.9950123
val,0.966229
val,0.9825453
val,0.9958508
val,0.9888832
val,0.9658591
val,0.9709181
val,0.9894555
val,0.9903838
val,0.9968437
val,0.9928784
val,0.982346
val,0.99177057
val,0.9967716
val,0.98817164
val,0.73560154
val,0.98363733
val,0.9887022
val,0.9640891
val,0.9735125
val,0.9879412
val,0.99491286
val,0.99285203
val,0.98813784
val,0.99379206
val,0.98966575
val,0.9933952
val,0.9845201
val,0.99290854
val,0.98638433
val,0.72937596
val,0.9882815
val,0.9947265
val,0.9776645
val,0.99401224
val,0.99608487
val,0.98214686
val,0.97921336
val,0.9928473
val,0.9921062
val,0.98589146
val,0.99435294
val,0.9879943
val,0.98529595
val,0.95411086
val,0.9381851
val,0.9846945
val,0.9945591
val,0.9953755
val,0.8140949
val,0.9847974
val,0.9860632
val,0.9934161
val,0.99065566
val,0.9838128
val,0.9799057
val,0.98226666
val,0.9914164
val,0.9890307
val,0.98753154
val,0.98177093
val,0.9833473
val,0.98091954
val,0.9892447
val,0.9897578
val,0.9855666
val,0.9842744
val,0.9833871
val,0.97718704
val,0.9930047
val,0.99038124
val,0.9834621
val,0.98883265
val,0.9887111
val,0.9954048
val,0.9785937
val,0.9940987
val,0.97451055
val,0.971692
val,0.9886501
val,0.9782764
val,0.9894196
val,0.9826467
val,0.9817673
val,0.9675505
val,0.98807085
val,0.9926653
val,0.9892012
val,0.9933329
val,0.9796175
val,0.9857205
val,0.98684335
val,0.9931723
val,0.9885861
val,0.9777585
val,0.9946873
val,0.98214763
val,0.982434
val,0.9846705
val,0.99122465
val,0.9903442
val,0.9859076
val,0.99104905
val,0.9782698
val,0.9834665
val,0.9873004
val,0.98996073
val,0.97651416
val,0.98935306
val,0.96593475
val,0.9826204
val,0.98988813
val,0.9967299
val,0.99022853
val,0.98197365
val,0.9946173
val,0.98666346
val,0.9910198
val,0.98696184
val,0.9811337
val,0.9799195
val,0.98989636
val,0.99104905
val,0.9872134
val,0.983299
val,0.9890406
val,0.9866053
val,0.993859
val,0.96797
val,0.9767391
val,0.9835547
val,0.99731755
val,0.9893204
val,0.9862373
val,0.9830037
val,0.9923773
val,0.98337865
val,0.990648
val,0.97400457
val,0.8073963
val,0.8933984
val,0.993804
val,0.99631435
val,0.96424043
val,0.9942585
val,0.99389136
val,0.99203706
val,0.9228451
val,0.99842364
val,0.9509411
val,0.9471543
val,0.99781597
val,0.99205816
val,0.9973706
val,0.99432147
val,0.9886441
val,0.99342525
val,0.9918039
val,0.99626267
val,0.91387343
val,0.9860379
val,0.9914275
val,0.9367268
val,0.9862113
val,0.9910034
val,1.0000001
val,0.8983121
val,0.9947542
val,0.99524117
val,0.99709123
val,0.9723598
val,0.99526745
val,0.9959211
val,0.92495203
val,0.98389673
val,0.97718155
val,0.995384
val,0.99508977
val,0.9923961
val,0.9966086
val,0.99625665
val,0.9999999
val,0.9868206
val,0.98877716
val,0.9980657
val,0.98213995
val,0.9961022
val,0.81195045
val,0.78039813
val,0.99147844
val,0.96818864
val,0.9009769
val,0.9804886
val,0.99736875
val,0.9940778
val,0.9959396
val,0.9942558
val,0.9937644
val,0.872784
val,0.9931365
val,0.99500746
val,0.9973804
val,0.9984498
val,0.99136305
val,0.998433
val,0.75201076
val,0.99570525
val,0.9229931
val,0.87156737
val,0.99293554
val,0.7453892
val,0.9405595
val,0.80597925
val,0.99078035
val,0.99467987
val,0.9950782
val,0.9951087
val,0.9886396
val,0.9637228
val,0.9970269
val,0.99086046
val,0.75416136
val,0.79331005
val,0.98898923
val,0.9965146
val,0.9601913
val,0.830474
val,0.9766761
val,0.96219856
val,0.9973883
val,0.9176846
val,0.98947644
val,0.93950063
val,0.9941541
val,0.9871635
val,0.998423
val,0.97322387
val,0.975184
val,0.93610406
val,0.7572373
val,0.9983056
val,0.9723741
val,0.9947365
val,0.98865485
val,0.9264979
val,1.0
val,0.807962
val,0.9829803
val,0.9628284
val,0.9958028
val,0.9901532
val,0.9915243
val,0.98486096
val,0.9968347
val,0.9899742
val,0.9961718
val,0.7898398
val,0.96902704
val,0.92151386
val,0.9691375
val,0.7766321
val,0.93824536
val,0.93788373
val,0.95730966
val,0.9674808
val,0.9030523
val,0.9567934
val,0.94386804
val,0.9386055
val,0.9715089
val,0.89120126
val,0.9671296
val,0.9434712
val,0.9442282
val,0.94086504
val,0.94706404
val,0.949973
val,0.96735364
val,0.9370207
val,0.96850413
val,0.96826464
val,0.9652112
val,0.9666009
val,0.9423643
val,0.9496244
val,0.9226056
val,0.96113276
val,0.9620058
val,0.9452857
val,0.8547323
val,0.9366918
val,0.94606984
val,0.8555969
val,0.96095264
val,0.7639262
val,0.9251051
val,0.76109254
val,0.9597676
val,0.9505509
val,0.96631336
val,0.970543
val,0.9076418
val,0.9712465
val,0.9553714
val,0.94771874
val,0.94723535
val,0.91217977
val,0.9535383
val,0.95465124
val,0.95477235
val,0.95636404
val,0.953858
val,0.9253744
val,0.9367305
val,0.91718024
val,0.9764935
val,0.9495958
val,0.96050674
val,0.9391717
val,0.9559622
val,0.91140527
val,0.9490204
val,0.89920294
val,0.96215683
val,0.8932768
val,0.95304024
val,0.9561762
val,0.9365152
val,0.95989573
val,0.90814835
val,0.86838263
val,0.81607556
val,0.98380893
val,0.8492131
val,0.9434609
val,0.9563099
val,0.9155412
val,0.8831345
val,0.960079
val,0.9620564
val,0.96926636
val,0.9101
val,0.9609692
val,0.91416395
val,0.9625554
val,0.93053985
val,0.930131
val,0.8859409
val,0.93756735
val,0.96140444
val,0.8988768
val,0.92101353
val,0.7808826
val,0.98254335
val,0.9582543
val,0.894505
val,0.9624773
val,0.95123
val,0.93893266
val,0.95262957
val,0.9425435
val,0.9841287
val,0.8821156
val,0.97031534
val,0.8657033
val,0.98804414
val,0.9805366
val,0.6431688
val,0.83252615
val,0.91837907
val,0.7894101
val,0.9809835
val,0.6067681
val,0.95177776
val,0.9557859
val,0.9553696
val,0.90213704
val,0.9607941
val,0.8403434
val,0.9530847
val,0.94763434
val,0.9290196
val,0.87305295
val,0.9173973
val,0.98560524
val,0.9662447
val,0.97981316
val,0.91821647
val,0.9144991
val,0.9499115
val,0.8873186
val,0.92635536
val,0.9471004
val,0.8732791
val,0.90732753
val,0.96454346
val,0.9607133
val,0.9572347
val,0.81139576
val,0.9359863
val,0.9632564
val,0.95828414
val,0.69734097
val,0.95763516
val,0.9675108
val,0.9697817
val,0.8683933
val,0.92064226
val,0.9554194
val,0.95104754
val,0.861388
val,0.98751014
val,0.97502005
val,0.8849489
val,0.9062283
val,0.974701
val,0.9737748
val,0.911154
val,0.9443918
val,0.9431714
val,0.96181047
val,0.9552314
val,0.95443296
val,0.9811765
val,0.9215852
val,0.9461409
val,0.9590602
val,0.9452461
val,0.9670489
val,0.92773134
val,0.88457453
val,0.9519626
val,0.82614547
val,0.9603605
val,0.9657546
val,0.86015403
val,0.9707988
val,0.9633423
val,0.95034176
val,0.8368928
val,0.96747255
val,0.7633792
val,0.83497566
val,0.9058417
val,0.9808053
val,0.96127284
val,0.9366654
val,0.9734118
val,0.8844893
val,0.8746537
val,0.9594747
val,0.95984125
val,0.96066236
val,0.992625
val,0.8246591
val,0.94244426
val,0.6538301
val,0.9741949
val,0.9382627
